App_Name,Category,Size,Ratings,Developers,No_of_installs,Permissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook Lite,Shopping,53M,"4.6 1,523,581 total",PT Bukalapak.com,"10,000,000+",find accounts on the device,read your contacts,read phone status and identity,retrieve running apps,read the contents of your USB storage,modify or delete the contents of your USB storage,precise location (GPS and network-based),approximate location (network-based),view Wi-Fi connections,read the contents of your USB storage,modify or delete the contents of your USB storage,record audio,find accounts on the device,take pictures and videos,add or modify calendar events and send email to guests without owners' knowledge,read calendar events plus confidential information,read phone status and identity,receive data from Internet,manage document storage,use accounts on the device,change your audio settings,control flashlight,control Near Field Communication,pair with Bluetooth devices,run at startup,prevent device from sleeping,connect and disconnect from Wi-Fi,modify system settings,control vibration,full network access,view network connections,read Google service configuration,access Bluetooth settings,,,,,
Hepsiburada,Shopping,Varies with device,"4.5 369,577 total",Hepsiburada.com,"10,000,000+",take pictures and videos,read the contents of your USB storage,modify or delete the contents of your USB storage,read the contents of your USB storage,modify or delete the contents of your USB storage,view Wi-Fi connections,precise location (GPS and network-based),receive data from Internet,run at startup,view network connections,full network access,prevent device from sleeping,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiki Shopping & Fast Shipping,Shopping,Varies with device,"4.3 126,980 total",Tiki Mobile Team,"10,000,000+",read your contacts,read the contents of your USB storage,access USB storage filesystem,modify or delete the contents of your USB storage,precise location (GPS and network-based),view Wi-Fi connections,record audio,read the contents of your USB storage,modify or delete the contents of your USB storage,read phone status and identity,read phone status and identity,take pictures and videos,receive data from Internet,view network connections,prevent device from sleeping,run at startup,full network access,control vibration,modify system settings,install shortcuts,read Google service configuration,,,,,,,,,,,,,,,,,
eBay Kleinanzeigen for Germany,Shopping,Varies with device,"4.8 565,847 total",eBay Classifieds Group,"10,000,000+",add or remove accounts,find accounts on the device,find accounts on the device,read the contents of your USB storage,modify or delete the contents of your USB storage,take pictures and videos,approximate location (network-based),precise location (GPS and network-based),read the contents of your USB storage,modify or delete the contents of your USB storage,receive data from Internet,run at startup,prevent device from sleeping,create accounts and set passwords,control flashlight,use accounts on the device,view network connections,full network access,read Google service configuration,,,,,,,,,,,,,,,,,,,
Trendyol - Hızlı ve Güvenli Alışverişin Yolu,Shopping,7.9M,"4.7 327,818 total",Trendyol,"10,000,000+",read the contents of your USB storage,modify or delete the contents of your USB storage,read the contents of your USB storage,modify or delete the contents of your USB storage,view Wi-Fi connections,receive data from Internet,view network connections,full network access,draw over other apps,use accounts on the device,control vibration,prevent device from sleeping,,,,,,,,,,,,,,,,,,,,,,,,,,
ROMEO - Gay Dating & Chat,Dating,29M,"3.9 115,837 total",ROMEO B.V.,"5,000,000+",take pictures and videos,read the contents of your USB storage,modify or delete the contents of your USB storage,record audio,read the contents of your USB storage,modify or delete the contents of your USB storage,view Wi-Fi connections,read phone status and identity,read phone status and identity,approximate location (network-based),precise location (GPS and network-based),receive data from Internet,change your audio settings,control vibration,view network connections,full network access,pair with Bluetooth devices,run at startup,prevent device from sleeping,,,,,,,,,,,,,,,,,,,
PinkCupid - Lesbian Dating App,Dating,3.1M,3.3 360 total,Cupid Media,"100,000+",read the contents of your USB storage,modify or delete the contents of your USB storage,read the contents of your USB storage,modify or delete the contents of your USB storage,take pictures and videos,receive data from Internet,view network connections,full network access,control vibration,prevent device from sleeping,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EliteSingles: Dating App for singles over 30,Dating,23M,"2.4 8,964 total",Spark Networks Services GmbH,"1,000,000+",find accounts on the device,find accounts on the device,read phone status and identity,read the contents of your USB storage,modify or delete the contents of your USB storage,read the contents of your USB storage,modify or delete the contents of your USB storage,read phone status and identity,receive data from Internet,view network connections,full network access,prevent device from sleeping,read Google service configuration,,,,,,,,,,,,,,,,,,,,,,,,,
Sverige Chat & Dating,Dating,9.9M,3.0 8 total,Chatef Apps,"5,000+",find accounts on the device,find accounts on the device,approximate location (network-based),precise location (GPS and network-based),read phone status and identity,read the contents of your USB storage,modify or delete the contents of your USB storage,read the contents of your USB storage,modify or delete the contents of your USB storage,read phone status and identity,receive data from Internet,view network connections,full network access,control vibration,prevent device from sleeping,,,,,,,,,,,,,,,,,,,,,,,
Bale,Social,40M,"4.3 19,514 total",Bale Social Payment Platform,"1,000,000+",modify your contacts,find accounts on the device,read your contacts,take pictures and videos,read the contents of your USB storage,modify or delete the contents of your USB storage,record audio,find accounts on the device,read your own contact card,add or remove accounts,read the contents of your USB storage,modify or delete the contents of your USB storage,view Wi-Fi connections,directly call phone numbers,read phone status and identity,read phone status and identity,read sensitive log data,precise location (GPS and network-based),approximate location (network-based),receive data from Internet,control vibration,change your audio settings,install shortcuts,full network access,create accounts and set passwords,view network connections,run at startup,prevent device from sleeping,read Google service configuration,draw over other apps,,,,,,,,
